period,raw_remaining,cap_1,prod_1,idle_1,cum_1,eff_1,stby_1,cap_2,prod_2,idle_2,cum_2,eff_2,stby_2,cap_3,prod_3,idle_3,cum_3,eff_3,stby_3,cap_4,prod_4,idle_4,cum_4,eff_4,stby_4,cap_5,prod_5,idle_5,cum_5,eff_5,stby_5,buffer_1,buffer_2,buffer_3,buffer_4
1,95,4,5,0,5,5,1,4,5,0,5,5,1,6,5,1,5,6,0,4,5,0,5,5,1,4,5,0,5,5,1,0,0,0,0
2,90,4,5,0,10,5,1,4,5,0,10,5,1,4,5,0,10,5,1,6,5,1,10,6,0,4,5,0,10,5,1,0,0,0,0
3,85,4,5,0,15,5,1,4,5,0,15,5,1,4,5,0,15,5,1,4,5,0,15,5,1,4,5,0,15,5,1,0,0,0,0
4,80,4,5,0,20,5,1,6,5,1,20,6,0,4,5,0,20,5,1,6,5,1,20,6,0,6,5,1,20,6,0,0,0,0,0
5,75,4,5,0,25,5,1,4,5,0,25,5,1,6,5,1,25,6,0,6,5,1,25,6,0,6,5,1,25,6,0,0,0,0,0
6,70,4,5,0,30,5,1,4,5,0,30,5,1,6,5,1,30,6,0,4,5,0,30,5,1,4,5,0,30,5,1,0,0,0,0
7,64,6,6,0,36,6,0,4,5,0,35,5,1,6,5,1,35,6,0,6,5,1,35,6,0,6,5,1,35,6,0,1,0,0,0
8,59,4,5,0,41,5,1,6,6,0,41,6,0,4,5,0,40,5,1,6,5,1,40,6,0,4,5,0,40,5,1,0,1,0,0
9,53,6,6,0,47,6,0,6,6,0,47,6,0,4,5,0,45,5,1,4,5,0,45,5,1,4,5,0,45,5,1,0,2,0,0
10,48,4,5,0,52,5,1,6,5,1,52,6,0,4,5,0,50,5,1,4,5,0,50,5,1,4,5,0,50,5,1,0,2,0,0
11,42,6,6,0,58,6,0,6,6,0,58,6,0,6,6,0,56,6,0,6,6,0,56,6,0,4,5,0,55,5,1,0,2,0,1
12,36,6,6,0,64,6,0,6,6,0,64,6,0,4,5,0,61,5,1,6,5,1,61,6,0,4,5,0,60,5,1,0,3,0,1
13,31,4,5,0,69,5,1,4,5,0,69,5,1,4,5,0,66,5,1,6,5,1,66,6,0,6,6,0,66,6,0,0,3,0,0
14,25,6,6,0,75,6,0,4,5,0,74,5,1,6,6,0,72,6,0,4,5,0,71,5,1,4,5,0,71,5,1,1,2,1,0
15,20,4,5,0,80,5,1,6,6,0,80,6,0,6,6,0,78,6,0,6,6,0,77,6,0,4,5,0,76,5,1,0,2,1,1
16,15,4,5,0,85,5,1,6,5,1,85,6,0,4,5,0,83,5,1,6,6,0,83,6,0,6,6,0,82,6,0,0,2,0,1
17,9,6,6,0,91,6,0,4,5,0,90,5,1,6,6,0,89,6,0,4,5,0,88,5,1,4,5,0,87,5,1,1,1,1,1
18,3,6,6,0,97,6,0,6,6,0,96,6,0,6,6,0,95,6,0,6,6,0,94,6,0,4,5,0,92,5,1,1,1,1,2
19,0,4,3,2,100,5,1,6,4,2,100,6,0,4,5,0,100,5,1,4,5,0,99,5,1,4,5,0,97,5,1,0,0,1,2
20,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,4,1,4,100,5,1,4,3,2,100,5,1,0,0,0,0
